AccountAgeDays,TotalOrders,OrdersLast24h,OrdersLast7d,CancelledOrders,CancelRate,CurrentOrderValue,AvgOrderValue,IsCod,CodOrderCount,PhoneUsedCount,AddressUsedCount,ItemCount,TotalQuantity,StatusChangeCount,CancelledOrdersLast24h,CancelRateLast24h,CancelledOrdersLast7d,CancelRateLast7d,IsRisk
130,4,0,4,0,0.0,3181880.0,791096.0,1,4,1,4,1,5,2,0,0,0,0.0,true
47,25,1,1,0,0.0,723693.0,1711896.0,1,22,1,1,1,1,2,0,0.0,0,0.0,false
22,23,1,8,2,0.087,1335293.0,592698.0,1,13,2,2,1,8,0,0,0.0,2,0.25,false
104,28,0,5,25,0.893,13736096.0,1719511.0,1,24,1,1,1,1,3,0,0,3,0.6,true
216,7,1,1,0,0.0,1126395.0,1993731.0,1,7,1,1,1,1,1,0,0.0,0,0.0,false
46,12,1,4,2,0.167,1588599.0,2713774.0,1,9,2,2,1,2,3,1,1.0,1,0.25,false
139,22,1,15,16,0.727,14041374.0,2560547.0,1,21,2,1,2,7,5,0,0.0,13,0.867,true
167,13,2,5,5,0.385,1933502.0,286020.0,1,5,2,7,3,5,2,0,0.0,2,0.4,true
112,1,1,1,0,0.0,5833643.0,1668122.0,1,1,6,4,1,4,0,0,0.0,0,0.0,true
27,12,6,7,11,0.917,2186002.0,1832836.0,1,10,3,2,3,9,0,0,0.0,4,0.571,true
149,14,2,11,12,0.857,7524069.0,2956004.0,1,10,2,2,2,6,6,1,0.5,8,0.727,true
8,14,0,11,3,0.214,142000000.0,83000000.0,1,14,1,1,2,2,0,0,0,3,0.273,true
357,3,1,3,1,0.333,459799.0,531298.0,0,1,1,1,2,4,3,0,0.0,0,0.0,false
14,14,2,3,3,0.214,3106547.0,1722530.0,1,3,5,1,2,2,3,0,0.0,1,0.333,true
101,22,2,9,19,0.864,9997015.0,329838.0,1,21,1,2,1,2,7,0,0.0,6,0.667,true
5,5,0,1,2,0.4,46838195.0,379741.0,1,5,2,1,5,6,0,0,0,0,0.0,true
8,14,0,11,3,0.214,54000000.0,83000000.0,1,14,1,1,3,4,0,0,0,3,0.273,false
8,14,0,11,3,0.214,100000000.0,83000000.0,1,14,1,1,3,5,0,0,0,3,0.273,true
96,7,1,4,1,0.143,4493020.0,2718197.0,1,4,1,2,1,1,3,1,1.0,1,0.25,false
122,6,0,4,2,0.333,7207115.0,381349.0,1,4,1,7,4,5,2,0,0,0,0.0,true
178,8,1,5,4,0.5,14394707.0,1460479.0,1,6,2,2,2,6,8,1,1.0,3,0.6,true
215,5,0,4,1,0.2,480511.0,993844.0,0,2,1,1,2,5,1,0,0,1,0.25,false
159,15,0,8,5,0.333,918704.0,351065.0,1,1,3,4,2,6,1,0,0,1,0.125,true
109,29,1,6,19,0.655,378038.0,2711333.0,1,17,1,2,2,5,6,1,1.0,6,1.0,true
35,26,3,12,25,0.962,6137300.0,1702531.0,1,26,1,1,4,7,7,0,0.0,6,0.5,true
204,33,0,4,0,0.0,2281716.0,1456985.0,1,24,1,1,1,2,2,0,0,0,0.0,false
6,4,1,4,0,0.0,47072536.0,226737.0,1,4,2,1,1,2,0,0,0.0,0,0.0,true
42,13,1,2,0,0.0,1135110.0,1775250.0,0,1,1,1,1,3,0,0,0.0,0,0.0,false
138,23,0,0,1,0.043,1473105.0,1888303.0,1,17,1,1,2,4,3,0,0,0,0,false
115,4,0,0,1,0.25,9543574.0,1621886.0,1,3,7,2,1,1,0,0,0,0,0,true
41,14,1,10,2,0.143,4784951.0,2705718.0,1,12,1,2,1,2,4,1,1.0,2,0.2,false
8,14,0,11,3,0.214,142000000.0,83000000.0,1,14,1,1,1,1,0,0,0,3,0.273,true
117,9,1,6,2,0.222,1173185.0,1975571.0,1,6,1,1,3,3,4,1,1.0,2,0.333,false
239,34,1,1,2,0.059,1996778.0,1972176.0,1,15,1,1,1,1,1,0,0.0,1,1.0,false
44,4,1,3,0,0.0,1320735.0,345585.0,1,3,1,1,3,3,0,0,0.0,0,0.0,false
211,30,1,2,0,0.0,317331.0,1869589.0,1,13,1,1,1,3,3,0,0.0,0,0.0,false
55,20,0,1,3,0.15,7044585.0,907459.0,1,2,1,5,1,3,4,0,0,1,1.0,true
153,16,0,2,5,0.312,4845782.0,1541811.0,1,6,4,1,4,5,3,0,0,0,0.0,true
8,14,0,11,3,0.214,28000000.0,83000000.0,1,14,1,1,1,1,0,0,0,3,0.273,false
30,5,0,1,0,0.0,1932292.0,1921214.0,1,4,1,3,2,4,4,0,0,0,0.0,true
355,25,0,2,0,0.0,203066.0,915613.0,1,19,1,1,2,4,3,0,0,0,0.0,false
239,5,1,3,0,0.0,815829.0,1478854.0,0,1,1,1,2,3,2,0,0.0,0,0.0,false
27,20,0,13,16,0.8,8004520.0,399627.0,1,11,1,1,1,6,5,0,0,12,0.923,true
240,12,0,1,1,0.083,892611.0,1900311.0,1,9,1,1,1,4,1,0,0,1,1.0,false
60,21,2,7,5,0.238,3590009.0,469780.0,1,19,2,1,1,6,4,1,0.5,2,0.286,false
103,6,1,4,1,0.167,4471165.0,2677635.0,1,4,2,2,1,5,0,1,1.0,1,0.25,false
22,14,2,9,2,0.143,3425973.0,2412441.0,1,13,2,2,3,5,1,1,0.5,2,0.222,false
155,2,0,0,1,0.5,1411446.0,290767.0,1,1,3,1,3,3,4,0,0,0,0,true
177,8,0,7,6,0.75,12383884.0,1685063.0,1,7,2,1,2,2,3,0,0,5,0.714,true
198,18,0,4,2,0.111,2474515.0,1804651.0,0,3,1,1,1,2,1,0,0,0,0.0,false
325,5,0,0,1,0.2,1048574.0,1217987.0,1,5,1,1,1,5,3,0,0,0,0,false
125,10,2,7,5,0.5,8988672.0,1167273.0,1,8,1,1,4,6,6,0,0.0,5,0.714,true
87,27,1,3,0,0.0,630464.0,224077.0,1,19,1,1,2,5,2,0,0.0,0,0.0,false
8,14,0,11,3,0.214,100000000.0,83000000.0,1,14,1,1,1,2,0,0,0,3,0.273,true
172,30,3,12,15,0.5,9554211.0,453747.0,1,19,2,2,4,5,4,1,0.333,12,1.0,true
53,22,0,10,1,0.045,6602779.0,1509279.0,1,11,2,1,4,6,4,0,0,1,0.1,false
74,13,1,4,3,0.231,6844296.0,996499.0,1,13,6,1,3,4,3,0,0.0,0,0.0,true
76,3,0,1,0,0.0,2479482.0,381165.0,1,2,1,5,2,4,0,0,0,0,0.0,true
19,23,3,4,19,0.826,9662020.0,1813833.0,1,20,2,1,3,7,2,0,0.0,4,1.0,true
138,28,0,0,0,0.0,2086503.0,484582.0,1,19,1,1,1,2,3,0,0,0,0,false
1,7,2,6,2,0.286,7610104.0,781892.0,1,7,1,1,1,5,2,0,0.0,0,0.0,true
35,23,1,1,0,0.0,1322972.0,913742.0,0,8,1,1,3,5,1,0,0.0,0,0.0,false
8,14,0,11,3,0.214,142000000.0,83000000.0,1,14,1,1,1,4,0,0,0,3,0.273,true
127,12,1,3,6,0.5,9277469.0,2267958.0,1,8,1,2,1,1,5,1,1.0,3,1.0,true
35,9,5,8,9,1.0,1934405.0,576346.0,1,9,1,1,3,3,2,2,0.4,5,0.625,true
266,6,0,2,0,0.0,2399345.0,598896.0,1,4,1,1,1,4,1,0,0,0,0.0,false
57,18,0,3,1,0.056,1957959.0,1581986.0,1,17,1,1,2,3,0,0,0,0,0.0,false
119,23,1,5,1,0.043,6205167.0,2353846.0,1,23,1,1,2,6,3,1,1.0,1,0.2,false
