AccountAgeDays,TotalOrders,OrdersLast24h,OrdersLast7d,CancelledOrders,CancelRate,CurrentOrderValue,AvgOrderValue,IsCod,CodOrderCount,PhoneUsedCount,AddressUsedCount,ItemCount,TotalQuantity,StatusChangeCount,CancelledOrdersLast24h,CancelRateLast24h,CancelledOrdersLast7d,CancelRateLast7d,IsRisk
5,5,1,2,1,0.2,2148410,1814932,1,1,1,1,6,15,0,0,0.0,1,0.5,true
196,30,0,10,24,0.8,3501516,2942737,1,30,2,1,2,5,2,0,0,6,0.6,true
272,17,0,8,8,0.471,2871524,2669719,1,15,1,2,5,5,5,0,0,7,0.875,true
6,6,2,2,2,0.333,44096387,266862,1,6,1,1,2,3,4,0,0.0,2,1.0,true
124,48,2,11,5,0.104,1825126,1230636,1,39,1,1,2,2,2,0,0.0,0,0.0,false
731,22,1,1,0,0.0,1146963,979700,1,21,1,1,1,3,2,0,0.0,0,0.0,false
8,11,5,11,2,0.182,1764767,1441031,1,3,2,2,2,5,5,0,0.0,2,0.182,true
318,18,1,6,13,0.722,2412561,2368340,1,11,2,1,3,6,4,1,1.0,3,0.5,true
11,6,4,6,1,0.167,661679,313304,1,6,2,2,2,7,2,1,0.25,1,0.167,true
653,20,0,3,2,0.1,863724,744546,1,17,2,1,4,5,4,0,0,0,0.0,false
3,1,1,1,0,0.0,128823,157959,1,1,1,1,1,3,0,0,0.0,0,0.0,false
396,40,1,1,5,0.125,529902,735017,1,40,1,1,1,5,1,0,0.0,0,0.0,false
242,39,0,0,2,0.051,1317584,706723,1,14,1,1,1,5,4,0,0,0,0,false
104,9,0,0,1,0.111,518318,237883,1,5,1,1,2,5,4,0,0,0,0,false
389,15,2,8,1,0.067,863691,476788,1,15,1,1,4,5,4,0,0.0,0,0.0,false
460,51,1,5,3,0.059,24305357,15387014,1,38,1,1,5,5,3,0,0.0,1,0.2,false
206,24,0,6,13,0.542,3333634,644889,1,11,1,1,1,4,6,0,0,3,0.5,true
530,9,0,0,1,0.111,263289,806535,1,7,1,1,2,5,4,0,0,0,0,false
26,12,3,9,2,0.167,1479104,695014,1,2,1,2,4,2,1,2,0.667,2,0.222,true
27,12,7,9,3,0.25,3674745,726940,1,10,2,1,1,3,4,2,0.286,2,0.222,true
2,3,0,3,0,0.0,518184,264327,1,3,1,1,1,1,0,0,0,0,0.0,false
396,35,1,2,2,0.057,1219087,946937,1,21,1,1,3,4,1,0,0.0,0,0.0,false
362,16,1,2,15,0.938,3859362,287270,1,6,2,1,4,3,4,1,1.0,2,1.0,true
1,2,0,1,0,0.0,575002,113276,1,2,1,1,1,2,0,0,0,0,0.0,false
92,7,0,4,2,0.286,2540114,788989,1,5,5,6,2,4,2,0,0,1,0.25,true
3,5,0,5,2,0.4,6247501,1004903,1,4,1,1,5,15,4,0,0,2,0.4,true
46,40,1,7,5,0.125,868734,1452243,1,40,1,1,2,1,3,0,0.0,0,0.0,false
7,2,1,2,0,0.0,160657,458666,1,2,1,1,1,2,0,0,0.0,0,0.0,false
34,13,0,6,9,0.692,2191349,2326964,1,9,1,2,3,2,2,0,0,5,0.833,true
302,40,0,0,0,0.0,448779,1002312,1,28,1,1,2,2,4,0,0,0,0,false
73,11,2,8,6,0.545,1680234,984251,1,11,1,1,1,8,3,2,1.0,5,0.625,true
48,18,4,11,5,0.278,4881401,1264113,1,11,2,2,3,3,4,1,0.25,1,0.091,true
6,6,2,3,2,0.333,5035850,818681,1,6,1,1,3,8,3,0,0.0,2,0.667,true
202,12,0,2,0,0.0,314947,332323,1,10,1,1,1,1,1,0,0,0,0.0,false
51,12,6,10,3,0.25,320524,523011,1,5,2,2,1,5,3,1,0.167,1,0.1,true
297,25,0,2,1,0.04,43513553,46513335,1,17,1,1,2,2,1,0,0,0,0.0,false
1,1,0,1,0,0.0,19470532,1440312,1,1,1,1,8,19,3,0,0,0,0.0,true
1,6,2,5,1,0.167,3981177,1535295,1,6,1,1,2,2,0,0,0.0,1,0.2,true
733,20,0,4,0,0.0,1324049,813475,1,20,1,1,2,2,3,0,0,0,0.0,false
26,3,2,3,3,1.0,585749,930969,1,3,1,1,5,5,8,2,1.0,3,1.0,true
